ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,18,SPORTS.TXT,0.52308,0.12143,0.1971,1
ROUGE-1,1,SPORTS.TXT,0.52083,0.25253,0.34014,1
ROUGE-1,2,SPORTS.TXT,0.88095,0.86047,0.87059,1
ROUGE-1,3,SPORTS.TXT,0.6,0.4,0.48,1
ROUGE-1,4,SPORTS.TXT,0.98571,0.97183,0.97872,1
ROUGE-1,5,SPORTS.TXT,0.51852,0.4058,0.45528,1
ROUGE-1,6,SPORTS.TXT,0.85714,0.76596,0.80899,1
ROUGE-1,7,SPORTS.TXT,0.80519,0.81579,0.81046,1
ROUGE-1,8,SPORTS.TXT,0.64615,0.65625,0.65116,1
ROUGE-1,9,SPORTS.TXT,0.55,0.46809,0.50575,1
ROUGE-1,60,SPORTS.TXT,0.88235,0.88983,0.88608,1
ROUGE-1,61,SPORTS.TXT,0.45588,0.34444,0.39241,1
ROUGE-1,62,SPORTS.TXT,0.8,0.75362,0.77612,1
ROUGE-1,63,SPORTS.TXT,0.65306,0.52033,0.57919,1
ROUGE-1,20,SPORTS.TXT,0.77778,0.4188,0.54444,1
ROUGE-1,64,SPORTS.TXT,0.875,0.875,0.875,1
ROUGE-1,21,SPORTS.TXT,0.82979,0.84783,0.83871,1
ROUGE-1,65,SPORTS.TXT,0.70667,0.50962,0.59218,1
ROUGE-1,22,SPORTS.TXT,0.96491,0.98214,0.97345,1
ROUGE-1,66,SPORTS.TXT,0.60526,0.50549,0.5509,1
ROUGE-1,23,SPORTS.TXT,0.90323,0.71795,0.8,1
ROUGE-1,67,SPORTS.TXT,0.55172,0.60759,0.57831,1
ROUGE-1,24,SPORTS.TXT,0.48649,0.36735,0.4186,1
ROUGE-1,68,SPORTS.TXT,0.66129,0.66129,0.66129,1
ROUGE-1,25,SPORTS.TXT,0.45833,0.32039,0.37714,1
ROUGE-1,69,SPORTS.TXT,0.98485,0.98485,0.98485,1
ROUGE-1,26,SPORTS.TXT,0.2,0.06897,0.10256,1
ROUGE-1,27,SPORTS.TXT,0.73333,0.19556,0.30877,1
ROUGE-1,28,SPORTS.TXT,0.81818,0.85714,0.83721,1
ROUGE-1,29,SPORTS.TXT,0.79661,0.67143,0.72868,1
ROUGE-1,70,SPORTS.TXT,0.71795,0.86154,0.78322,1
ROUGE-1,71,SPORTS.TXT,0.80769,0.81818,0.8129,1
ROUGE-1,72,SPORTS.TXT,0.68519,0.55224,0.61157,1
ROUGE-1,73,SPORTS.TXT,0.68116,0.55952,0.61438,1
ROUGE-1,30,SPORTS.TXT,0.74,0.43529,0.54815,1
ROUGE-1,74,SPORTS.TXT,0.89247,0.83,0.8601,1
ROUGE-1,31,SPORTS.TXT,0.87805,0.65455,0.75,1
ROUGE-1,75,SPORTS.TXT,0.72881,0.68254,0.70492,1
ROUGE-1,32,SPORTS.TXT,0.77358,0.7193,0.74545,1
ROUGE-1,33,SPORTS.TXT,0.41758,0.21965,0.28788,1
ROUGE-1,34,SPORTS.TXT,0.98485,0.98485,0.98485,1
ROUGE-1,35,SPORTS.TXT,0.27143,0.16239,0.20321,1
ROUGE-1,36,SPORTS.TXT,0.58163,0.16814,0.26087,1
ROUGE-1,37,SPORTS.TXT,0.64865,0.44444,0.52747,1
ROUGE-1,38,SPORTS.TXT,0.73684,0.38621,0.50679,1
ROUGE-1,39,SPORTS.TXT,0.59,0.35542,0.44361,1
ROUGE-1,40,SPORTS.TXT,0.86364,0.80851,0.83516,1
ROUGE-1,41,SPORTS.TXT,0.63636,0.625,0.63063,1
ROUGE-1,42,SPORTS.TXT,0.90741,0.875,0.89091,1
ROUGE-1,43,SPORTS.TXT,0.71429,0.6,0.65217,1
ROUGE-1+StopWordRemoval,44,STATE.TXT,0.52,0.4,0.45217,1
ROUGE-1+StopWordRemoval,45,STATE.TXT,0.79167,0.7037,0.7451,1
ROUGE-1+StopWordRemoval,46,STATE.TXT,0.81034,0.85455,0.83186,1
ROUGE-1+StopWordRemoval,47,STATE.TXT,0.76923,0.57143,0.65574,1
ROUGE-1+StopWordRemoval,48,STATE.TXT,0.57692,0.5625,0.56962,1
